"시군구별(1)",시군구별(2),2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"시군구별(1)",시군구별(2),계,상급종합병원,종합병원,병원,요양병원,의원,치과병원,치과의원,한방병원,한의원,보건소,보건지소,보건진료소,보건의료원,조산원,약국
"경남",사천시,191,-,-,5,7,51,-,35,-,27,1,7,12,-,-,46
"경남",김해시,711,-,5,25,35,218,5,130,3,104,1,8,1,-,-,176
"경남",밀양시,178,-,-,8,5,44,-,26,1,23,1,9,15,-,-,46
"경남",거제시,317,-,3,7,2,102,3,55,-,46,1,10,12,-,-,76
"경남",양산시,507,1,2,10,18,174,3,83,2,81,1,6,2,-,-,124
"경남",의령군,60,-,-,2,2,11,-,5,-,7,1,11,10,-,-,11
"경남",함안군,94,-,-,3,4,22,-,13,-,12,1,5,9,-,-,25
"경남",창녕군,129,-,-,4,7,29,-,13,-,15,1,13,19,-,-,28
"경남",고성군,89,-,-,3,2,19,-,11,-,12,1,13,12,-,-,16
"경남",남해군,88,-,-,1,1,23,-,9,-,9,1,9,15,-,-,20
"경남",하동군,94,-,-,3,2,20,-,12,-,9,1,12,18,-,-,17
"경남",산청군,72,-,-,-,1,13,-,6,-,13,-,9,15,1,-,14
"경남",함양군,83,-,-,1,-,22,-,9,-,10,1,10,11,-,-,19
"경남",거창군,127,-,-,2,3,31,-,16,-,13,1,11,18,-,-,32
"경남",합천군,96,-,-,3,2,17,-,10,-,14,1,16,15,-,-,18
