"시군구별(1)",시군구별(2),2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"시군구별(1)",시군구별(2),계,상급종합병원,종합병원,병원,요양병원,의원,치과병원,치과의원,한방병원,한의원,보건소,보건지소,보건진료소,보건의료원,조산원,약국
"경기",하남시,381,-,-,7,4,148,-,76,-,58,1,-,-,-,-,87
"경기",용인시 처인구,324,-,2,3,7,102,-,69,1,44,1,7,7,-,-,81
"경기",용인시 기흥구,571,-,1,4,13,207,1,129,1,86,1,-,2,-,-,126
"경기",용인시 수지구,534,-,-,3,5,190,1,121,-,98,1,-,1,-,-,114
"경기",파주시,573,-,1,11,20,184,-,114,1,85,1,6,7,-,-,143
"경기",이천시,333,-,1,4,8,108,1,55,-,44,1,7,15,-,-,89
"경기",안성시,271,-,2,2,10,74,1,47,-,33,1,9,15,-,-,77
"경기",김포시,604,-,2,15,7,200,-,131,6,94,1,6,7,-,-,135
"경기",화성시,1001,-,3,12,12,339,-,204,3,148,1,15,12,-,-,252
"경기",광주시,406,-,1,2,7,131,1,74,-,69,1,3,12,-,-,105
"경기",양주시,252,-,-,5,12,80,-,47,-,30,1,2,3,-,-,72
"경기",포천시,209,-,2,2,6,62,-,36,-,24,1,13,9,-,-,54
"경기",여주시,191,-,-,4,6,50,-,33,-,27,1,9,13,-,-,48
"경기",연천군,69,-,-,-,1,13,-,11,-,7,-,7,7,1,-,22
"경기",가평군,114,-,-,3,3,26,-,20,1,16,1,5,15,-,-,24
"경기",양평군,178,-,-,2,8,41,-,29,1,32,1,10,16,-,-,38
"강원",소계,2519,1,14,45,32,769,4,388,1,362,16,97,129,2,-,659
"강원",춘천시,472,-,2,9,7,161,-,81,-,69,1,10,13,-,-,119
"강원",원주시,597,1,1,18,6,197,2,94,1,103,1,9,8,-,-,156
"강원",강릉시,347,-,4,3,4,114,1,56,-,59,1,7,9,-,-,89
"강원",동해시,140,-,1,2,3,50,-,26,-,17,1,1,-,-,-,39
"강원",태백시,64,-,1,1,-,23,-,9,-,7,1,1,1,-,-,20
"강원",속초시,165,-,2,-,2,64,1,30,-,24,1,-,-,-,-,41
"강원",삼척시,94,-,1,1,1,27,-,12,-,10,1,8,6,-,-,27
"강원",홍천군,115,-,1,2,3,30,-,16,-,11,1,8,18,-,-,25
"강원",횡성군,69,-,-,1,1,13,-,7,-,13,1,8,8,-,-,17
"강원",영월군,56,-,1,1,1,12,-,6,-,6,1,7,5,-,-,16
"강원",평창군,84,-,-,-,2,17,-,13,-,10,-,6,15,1,-,20
"강원",정선군,53,-,-,2,-,9,-,5,-,4,1,7,11,-,-,14
"강원",철원군,70,-,-,1,1,18,-,8,-,8,1,4,7,-,-,22
"강원",화천군,36,-,-,-,-,8,-,5,-,4,-,4,6,1,-,8
"강원",양구군,33,-,-,3,-,5,-,5,-,4,1,4,3,-,-,8
"강원",인제군,46,-,-,1,1,8,-,6,-,5,1,5,5,-,-,14
"강원",고성군,41,-,-,-,-,7,-,5,-,4,1,3,9,-,-,12
"강원",양양군,37,-,-,-,-,6,-,4,-,4,1,5,5,-,-,12
