,시도,시군구,행정구역명,행정동(행정기관명),법정동,행정구역코드,행정기관코드,행정기관5자리,행정기관 생성일,법정동코드,법정동 관할지역,행정동 영문명칭,비고
15249,전라남도,장성군,북하면,북하면,덕재리,3645040.0,4688040000,46880,19880423,4688040029,,Bukha-myeon,
15250,전라남도,장성군,북하면,북하면,동현리,3645040.0,4688040000,46880,19880423,4688040030,,Bukha-myeon,
15251,전라남도,장성군,북하면,북하면,쌍웅리,3645040.0,4688040000,46880,19880423,4688040031,,Bukha-myeon,
15252,전라남도,장성군,북하면,북하면,신성리,3645040.0,4688040000,46880,19880423,4688040032,,Bukha-myeon,
15352,전라남도,완도군,보길면,보길면,정자리,3646038.0,4689038000,46890,19880423,4689038024,,Bogil-myeon,
15353,전라남도,완도군,생일면,생일면,생일면,3646039.0,4689039000,46890,19890401,4689039000,,Saengil-myeon,
15354,전라남도,완도군,생일면,생일면,유서리,3646039.0,4689039000,46890,19890401,4689039021,,Saengil-myeon,
15355,전라남도,완도군,생일면,생일면,금곡리,3646039.0,4689039000,46890,19890401,4689039022,,Saengil-myeon,
15356,전라남도,완도군,생일면,생일면,봉선리,3646039.0,4689039000,46890,19890401,4689039023,,Saengil-myeon,
15460,전라남도,진도군,조도면,조도면,외병도리,3647036.0,4690036000,46900,19880423,4690036041,,Jodo-myeon,
15461,전라남도,진도군,조도면,조도면,내병도리,3647036.0,4690036000,46900,19880423,4690036042,,Jodo-myeon,
15462,전라남도,진도군,조도면,조도면,가사도리,3647036.0,4690036000,46900,19880423,4690036043,,Jodo-myeon,
15463,전라남도,진도군,조도면가사출장소,조도면가사출장소,진도군,,4690036500,46900,19880423,4690000000,,-,
15464,전라남도,진도군,조도면거차출장소,조도면거차출장소,진도군,,4690036600,46900,19880423,4690000000,,-,
15628,전라남도,신안군,암태면,암태면,오상리,3648042.0,4691042000,46910,19880423,4691042025,,Amtae-myeon,
15629,전라남도,신안군,암태면,암태면,기동리,3648042.0,4691042000,46910,19880423,4691042026,,Amtae-myeon,
15630,전라남도,신안군,암태면,암태면,송곡리,3648042.0,4691042000,46910,19880423,4691042027,,Amtae-myeon,
15631,전라남도,신안군,암태면,암태면,신석리,3648042.0,4691042000,46910,19880423,4691042028,,Amtae-myeon,
15632,전라남도,신안군,암태면,암태면,당사리,3648042.0,4691042000,46910,19880423,4691042029,,Amtae-myeon,
15633,경상북도,경상북도,경상북도,경상북도,경상북도,37.0,4700000000,47000,19880423,4700000000,,Gyeongsangbuk-do,
15634,경상북도,포항시,포항시,포항시,포항시,37010.0,4711000000,47110,19880423,4711000000,,Pohang-si,
15635,경상북도,포항시 남구,포항시 남구,포항시 남구,포항시 남구,37011.0,4711100000,47111,19950101,4711100000,,Nam-gu,
15739,경상북도,포항시남구,제철동,제철동,호동,3701157.0,4711157000,47111,19950101,4711111300,,Jecheol-dong,
15740,경상북도,포항시남구,효곡동,효곡동,효자동,3701158.0,4711158000,47111,19950101,4711111400,,Hyogok-dong,
15741,경상북도,포항시남구,효곡동,효곡동,지곡동,3701158.0,4711158000,47111,19950101,4711111500,,Hyogok-dong,
15742,경상북도,포항시남구,대이동,대이동,대잠동,3701159.0,4711159000,47111,19950101,4711111600,,Daei-dong,
15743,경상북도,포항시남구,대이동,대이동,이동,3701159.0,4711159000,47111,19950101,4711111700,,Daei-dong,
15886,경상북도,포항시 북구,두호동,두호동,두호동,3701264.0,4711369000,47113,19950101,4711312000,,Duho-dong,
15887,경상북도,포항시 북구,장량동,장량동,장성동,3701265.0,4711370000,47113,19950101,4711312100,,Jangnyang-dong,
15888,경상북도,포항시 북구,장량동,장량동,양덕동,3701265.0,4711370000,47113,19950101,4711312200,,Jangnyang-dong,
15889,경상북도,포항시 북구,환여동,환여동,환호동,3701266.0,4711371000,47113,19950101,4711312300,,Hwanyeo-dong,
15890,경상북도,포항시 북구,환여동,환여동,여남동,3701266.0,4711371000,47113,19950101,4711312400,,Hwanyeo-dong,
16085,경상북도,경주시,보덕동,보덕동,덕동,3702067.0,4713066000,47130,19880423,4713013700,,Bodeok-dong,
16086,경상북도,경주시,보덕동,보덕동,암곡동,3702067.0,4713066000,47130,19880423,4713013800,,Bodeok-dong,
16087,경상북도,경주시,보덕동,보덕동,황용동,3702067.0,4713066000,47130,19880423,4713013900,,Bodeok-dong,
16088,경상북도,경주시,보덕동,보덕동,북군동,3702067.0,4713066000,47130,19880423,4713014000,,Bodeok-dong,
16089,경상북도,경주시,보덕동,보덕동,손곡동,3702067.0,4713066000,47130,19880423,4713014100,,Bodeok-dong,
