,시도,시군구,행정구역명,행정동(행정기관명),법정동,행정구역코드,행정기관코드,행정기관5자리,행정기관 생성일,법정동코드,법정동 관할지역,행정동 영문명칭,비고
19377,경상남도,창원시 진해구,웅동2동,웅동2동,용원동,3811565.0,4812965000,48129,20100701,4812916400,,Ungdong 2(i)-dong,
19378,경상남도,창원시 진해구,웅동2동,웅동2동,가주동,3811565.0,4812965000,48129,20100701,4812916500,,Ungdong 2(i)-dong,
19551,경상남도,진주시,판문동,판문동,판문동,3803070.0,4817073000,48170,19970701,4817012900,,Panmun-dong,
19552,경상남도,진주시,판문동,판문동,귀곡동,3803070.0,4817073000,48170,19970701,4817013000,,Panmun-dong,
19553,경상남도,진주시,가호동,가호동,가좌동,3803071.0,4817074000,48170,19880423,4817013100,,Gahoe-dong,
19554,경상남도,진주시,가호동,가호동,호탄동,3803071.0,4817074000,48170,19880423,4817013200,,Gahoe-dong,
19555,경상남도,진주시,충무공동,충무공동,충무공동,3803076.0,4817075000,48170,20131218,4817013700,,Chungmugong-dong,
19627,경상남도,통영시,북신동,북신동,북신동,3805055.0,4822060000,48220,19950101,4822011000,,Buksin-dong,
19628,경상남도,통영시,미수동,미수동,미수동,3805063.0,4822066500,48220,20101231,4822011500,,Misu-dong,
19629,경상남도,통영시,봉평동,봉평동,봉평동,3805064.0,4822067000,48220,19950101,4822011600,,Bongpyeong-dong,
19630,경상남도,통영시,봉평동,봉평동,도남동,3805064.0,4822067000,48220,19950101,4822011700,,Bongpyeong-dong,
19631,경상남도,통영시,무전동,무전동,무전동,3805056.0,4822070000,48220,19950101,4822011100,,Mujeon-dong,
19754,경상남도,사천시,남양동,남양동,대포동,3806059.0,4824059500,48240,19980912,4824012500,,Namyang-dong,
19755,경상남도,사천시,남양동,남양동,송포동,3806059.0,4824059500,48240,19980912,4824012600,,Namyang-dong,
19756,경상남도,사천시,남양동,남양동,죽림동,3806059.0,4824059500,48240,19980912,4824012700,,Namyang-dong,
19757,경상남도,사천시,신수출장소,신수출장소,신수동,,4824089000,48240,19950510,4824012100,,Dongseo-dong,
