C행정구역별(읍면동)	시/도	시/군/구	65세이상인구	총인구	비율
'25030	대전광역시	 서구	56552	480920	0.117591283
'39020	제주특별자치도	 서귀포시	32300	177360	0.182115471
'11130	서울특별시	 서대문구	48946	319394	0.15324646
'34012	충청남도	 서북구	32042	400590	0.079987019
'34050	충청남도	 서산시	30460	175204	0.173854478
'33042	충청북도	 서원구	27898	210273	0.132675141
'34340	충청남도	 서천군	17894	51826	0.345270714
'11220	서울특별시	 서초구	53495	404960	0.132099467
'31020	경기도	 성남시	122505	919895	0.133172808
'11040	서울특별시	 성동구	41882	299688	0.139752009
'11080	서울특별시	 성북구	67230	445327	0.150967716
'38112	경상남도	 성산구	16219	219951	0.073739151
'37380	경상북도	 성주군	12513	41314	0.302875539
'29010	세종특별자치시	 세종시	30280	338136	0.089549767
'32060	강원도	 속초시	14478	78643	0.184097758
'11240	서울특별시	 송파구	83510	648600	0.12875424
'22060	대구광역시	 수성구	62197	415283	0.149770157
'21140	부산광역시	 수영구	35317	170414	0.207242363
'31010	경기도	 수원시	123657	1214986	0.101776481
'31021	경기도	 수정구	35185	241256	0.145840932
'31193	경기도	 수지구	45315	351807	0.128806419
'35360	전라북도	 순창군	8955	26642	0.336123414
'36030	전라남도	 순천시	40810	270202	0.151035151
'31150	경기도	 시흥시	42865	508749	0.084255694
'36480	전라남도	 신안군	12671	35432	0.357614586
'34040	충청남도	 아산시	39379	347032	0.113473685
'37040	경상북도	 안동시	36930	160344	0.230317318
'31090	경기도	 안산시	69598	714650	0.097387532
'31220	경기도	 안성시	30900	202284	0.152755532
'31040	경기도	 안양시	70400	557339	0.126314505
'32380	강원도	 양구군	4287	21780	0.196831956
'38100	경상남도	 양산시	43747	347221	0.125991803
'32410	강원도	 양양군	7650	26280	0.29109589
'31260	경기도	 양주시	33876	224684	0.150771751
'11150	서울특별시	 양천구	58748	440354	0.133410847
'31380	경기도	 양평군	27007	111836	0.241487535
'36020	전라남도	 여수시	49647	270283	0.183685248
'31280	경기도	 여주시	22304	111981	0.199176646
'23040	인천광역시	 연수구	33678	374413	0.0899488
'21130	부산광역시	 연제구	37186	203959	0.182320957
'31350	경기도	 연천군	10435	42540	0.245298543
'36440	전라남도	 영광군	14090	50004	0.281777458
'37350	경상북도	 영덕군	12782	35672	0.358320251
'21040	부산광역시	 영도구	28495	117959	0.241566985
'33340	충청북도	 영동군	14137	48004	0.294496292
'11190	서울특별시	 영등포구	57606	394083	0.146177328
'36410	전라남도	 영암군	13201	57476	0.229678474
'37340	경상북도	 영양군	5851	16146	0.362380775
'32330	강원도	 영월군	10334	36332	0.284432456
'37060	경상북도	 영주시	26704	105235	0.25375588
'37070	경상북도	 영천시	26438	100487	0.263098709
'31014	경기도	 영통구	24744	368876	0.067079452
'34370	충청남도	 예산군	22670	78963	0.287096488
'37400	경상북도	 예천군	15881	53020	0.29952848
'31140	경기도	 오산시	20820	233998	0.088975119
'33330	충청북도	 옥천군	14006	49117	0.285155852
'23320	인천광역시	 옹진군	4701	19040	0.246901261
'36460	전라남도	 완도군	14625	48366	0.302381838
'35011	전라북도	 완산구	51411	341123	0.150711034
'35310	전라북도	 완주군	19773	96212	0.205514905
'11030	서울특별시	 용산구	33849	227181	0.148995735
'31190	경기도	 용인시	132778	1052529	0.126151393
'37430	경상북도	 울릉군	2042	8704	0.234604779
'26310	울산광역시	 울주군	29755	226501	0.131368073
'37420	경상북도	 울진군	12735	47651	0.267255671
'32020	강원도	 원주시	49215	349319	0.140888414
'25040	대전광역시	 유성구	31299	366544	0.085389476
'11120	서울특별시	 은평구	76818	461530	0.166442051
'33370	충청북도	 음성군	18412	104823	0.175648474
'38310	경상남도	 의령군	9146	26040	0.351228879
'37320	경상북도	 의성군	20099	49477	0.406229157
'31170	경기도	 의왕시	20356	155826	0.130632885
'31030	경기도	 의정부시	64157	440357	0.145693154
'38111	경상남도	 의창구	30206	256001	0.117991727
'31210	경기도	 이천시	28562	222995	0.128083589
'35030	전라북도	 익산시	51976	290119	0.179154071
'32390	강원도	 인제군	5890	30133	0.195466764
'31103	경기도	 일산동구	35203	287041	0.122641016
'31104	경기도	 일산서구	34797	289033	0.120391097
'35350	전라북도	 임실군	9013	26144	0.344744492
'36450	전라남도	 장성군	12085	42193	0.286421918
'35340	전라북도	 장수군	6872	21267	0.323129732
'31011	경기도	 장안구	34336	282288	0.121634643
'36380	전라남도	 장흥군	11748	35494	0.330985519
'35010	전라북도	 전주시	93876	662086	0.141788227
'32350	강원도	 정선군	9057	35255	0.256899731
'35040	전라북도	 정읍시	28180	107348	0.262510713
'39010	제주특별자치도	 제주시	65170	487688	0.133630518
'33030	충청북도	 제천시	27142	136093	0.19943715
'11010	서울특별시	 종로구	24618	154969	0.158857578
'11020	서울특별시	 중구	20795	130957	0.158792581
'21010	부산광역시	 중구	10261	41958	0.244554078
'22010	대구광역시	 중구	14744	75561	0.195127116
'23010	인천광역시	 중구	18419	131863	0.139682853
'25020	대전광역시	 중구	43054	234995	0.183212409
'26010	울산광역시	 중구	30210	219428	0.13767614
'11070	서울특별시	 중랑구	62533	386331	0.16186379
'31022	경기도	 중원구	31260	216005	0.144718872
'33390	충청북도	 증평군	5998	37493	0.159976529
'36470	전라남도	 진도군	9318	29295	0.318074757
'35320	전라북도	 진안군	7881	23013	0.34245861
'38030	경상남도	 진주시	54912	354166	0.155045939
'33350	충청북도	 진천군	12845	87525	0.146758069
'38115	경상남도	 진해구	25405	190885	0.133090604
'38330	경상남도	 창녕군	17636	62370	0.282764149
'38110	경상남도	 창원시	137775	1036862	0.132876892
'31191	경기도	 처인구	34460	266647	0.129234531
'34010	충청남도	 천안시	66990	679743	0.098551953
'32360	강원도	 철원군	9324	43520	0.214246324
'37360	경상북도	 청도군	14727	41054	0.358722658
'37330	경상북도	 청송군	8719	23958	0.363928542
'34350	충청남도	 청양군	10298	30783	0.334535295
'33044	충청북도	 청원구	23244	200581	0.115883359
'33040	충청북도	 청주시	105159	850938	0.123580096
'32010	강원도	 춘천시	46721	284753	0.164075532
'33020	충청북도	 충주시	38968	216446	0.180035667
'37390	경상북도	 칠곡군	16952	118517	0.143034333
'32050	강원도	 태백시	9869	42474	0.232353911
'34380	충청남도	 태안군	17672	60896	0.290199685
'38050	경상남도	 통영시	23018	129931	0.177155567
'31200	경기도	 파주시	59275	454328	0.130467416
'31013	경기도	 팔달구	26069	189052	0.137893278
'32340	강원도	 평창군	10563	39657	0.266359029
'31070	경기도	 평택시	59331	521172	0.113841496
'31270	경기도	 포천시	26607	159871	0.166427933
'37010	경상북도	 포항시	81247	502064	0.161825982
'31180	경기도	 하남시	32173	260544	0.123483941
'38360	경상남도	 하동군	14192	42583	0.333278538
'38320	경상남도	 함안군	14790	66611	0.2220354
'38380	경상남도	 함양군	12217	37384	0.32679756
'36430	전라남도	 함평군	10700	30556	0.350176725
'38400	경상남도	 합천군	16255	42449	0.382930104
'36400	전라남도	 해남군	20413	65175	0.313202915
'21090	부산광역시	 해운대구	63879	392846	0.162605703
'34360	충청남도	 홍성군	22316	102791	0.217100719
'32310	강원도	 홍천군	16429	66634	0.246555812
'31240	경기도	 화성시	67601	838635	0.08060837
'36370	전라남도	 화순군	15707	59671	0.263226693
'32370	강원도	 화천군	5020	23425	0.214300961
'32320	강원도	 횡성군	12269	44431	0.276136031
'33043	충청북도	 흥덕구	27524	266301	0.103356728
'32		강원도	292473	1520127	0.192400372
'29		세종특별자치시	30280	338136	0.089549767
'33		충청북도	267154	1629343	0.163964248
