시도,시군구,고혈압,울혈성심부전,협심증,당뇨 급성 합병증,당뇨 만성 합병증,성인 천식,만성 폐쇄성 폐질환,세균성 폐렴,요로 감염증,충수 돌기,소아 천식,소아 위장 관염,소아 세균성 폐렴,소아 요로 감염,소아 천공성 충수염
충청북도,충주시,20.9,5.8,7,0.3,6.6,1.8,10.3,2.6,8.1,1.4,16.2,18.4,2.8,13.1,0.1
경상북도,칠곡군,23.9,6.6,4.6,0.2,6.9,1.6,12,3.6,7.6,1.5,25.5,70.9,4.8,16.1,0.1
강원도,태백시,31.4,7.1,7.8,0.3,8.9,1.9,13.5,4.1,3.9,1,10.9,28.2,4.5,5.6,0.1
충청남도,태안군,25.1,5.6,5.5,0.2,6.1,2.3,12.4,1.3,6.1,1.4,5.8,17.1,2.2,3.6,0.1
경상남도,통영시,32.7,7.6,6.2,0.2,11.6,3.9,28.5,2.6,14,1.8,8.5,48,2.1,3.7,0.3
경기도,파주시,25.5,3.5,5.9,0.2,6.5,2.5,11,2,4.7,1.4,16.1,28.6,1.8,2.7,0.1
강원도,평창군,24.1,6,7.7,0.2,5.8,2,8.7,3.1,4.4,1.5,11.8,23.4,5.6,2.3,0
경기도,평택시,23.2,4.1,6.5,0.2,8,2.1,12.3,5.2,7.3,1.4,17.4,30.9,8.4,6.1,0.1
경기도,포천시,24,4.9,6.8,0.3,7.2,1.9,10.2,3.3,5.3,1.7,14.2,37.8,4.6,2.8,0.1
경상북도,포항시 남구,27.7,14.7,7.4,0.2,8.5,2,13.5,4.6,5.6,1.8,24.6,41.7,18.4,3,0
경상북도,포항시 북구,27.8,11.8,8,0.2,8.6,2,13,6.9,4.7,1.7,28.5,39,20.9,2.6,0.1
경기도,하남시,20.1,4.2,4.6,0.2,5.5,1.2,7.4,1.2,4.1,1.1,2.2,11.9,1.1,1.8,0.1
경상남도,하동군,29.9,5.5,6.5,0.2,8.3,3.4,27.5,5.7,9.9,1.5,54.4,62.7,6.3,8.6,0.2
경상남도,함안군,30.7,7.6,5.6,0.2,8.1,2.6,19.5,5.8,6.6,1.8,61.1,34.5,9.7,5.1,0
경상남도,함양군,28.7,5.4,4.8,0.3,7.6,3,18.7,7.9,8.1,1.5,59.6,55.7,9.6,8.1,0
전라남도,함평군,32.9,4.9,7.7,0.3,10.3,3.4,21.1,7.2,7.9,1.2,55.3,55.4,23.4,5.9,0
경상남도,합천군,25.8,4.5,4.5,0.2,6.4,2.1,22.6,3.7,5.7,1.6,41.5,46.4,13.4,5.7,0
전라남도,해남군,40.7,6.6,9.2,0.6,18.4,9.2,52.9,14.5,12,1.7,"155.
8",88.3,15.1,9.8,0.3
부산광역시,해운대구,28.1,5,8,0.2,7,1.7,13.1,3,5.6,1.5,42.7,55.1,6.2,3.7,0.2
충청남도,홍성군,21.9,3.5,4.7,0.2,5.3,1.7,9,1.8,5.8,1.7,9.5,23.3,5.2,5.3,0.1
강원도,홍천군,23,4.8,8.5,0.3,11.4,3.3,8.2,3.4,6.8,1.2,17.3,23.5,1.2,3,0
경기도,화성시,19.3,3.8,5.6,0.2,5.9,1.3,7.5,2,5,1.5,12.7,25.8,1.8,2.8,0.1
전라남도,화순군,35.6,4.4,6.8,0.5,9.3,3.3,17.1,12.2,7.5,1.5,70.8,71.6,53.5,7.6,0
강원도,화천군,24.4,5.7,10.3,0.4,10.4,2.6,10.7,1.8,6.8,2.2,10.7,32,1.6,6.7,0
강원도,횡성군,21.3,4.4,4.8,0.2,4.6,1.5,10.3,3.5,4.6,1.5,5,20.9,5.1,0.4,0
