시도,시군구,고혈압,울혈성심부전,협심증,당뇨 급성 합병증,당뇨 만성 합병증,성인 천식,만성 폐쇄성 폐질환,세균성 폐렴,요로 감염증,충수 돌기,소아 천식,소아 위장 관염,소아 세균성 폐렴,소아 요로 감염,소아 천공성 충수염
인천광역시,미추홀구,25.4,6.4,6.4,0.3,7.8,2.2,17.1,1.7,8.7,1.3,14.6,28.6,3.6,12,0.1
경상남도,밀양시,35.2,6.6,13.1,0.2,7.4,4.8,38,5,11.4,1.5,51.9,99,6,2.8,0.1
충청남도,보령시,24.7,4.7,5.1,0.4,8.7,4.1,11,6.7,8.5,1.7,13.8,33.1,4.9,3.4,0
전라남도,보성군,34.8,4,7,0.4,10.8,2.6,24.9,8.2,7.4,2,57.4,54.9,22.4,5.8,0
충청북도,보은군,26.8,4.9,6,0.2,7,2.1,16.8,5,8.9,1.1,40.4,33.7,9.2,14,0
경상북도,봉화군,27.4,3.9,7.3,0.3,8.1,8.2,14.5,2.1,9.4,1.6,41.9,36.9,4.7,4.4,0
부산광역시,부산진구,30.6,6.3,8.6,0.2,7.9,1.4,11.6,3.9,5.7,1.3,45.8,61.4,10.3,4.9,0
전라북도,부안군,43.5,4.8,6,0.6,14.8,4.2,30.3,5,12.4,1.4,25.5,32.8,1.2,5.2,0.2
충청남도,부여군,28.2,4.4,5.4,0.3,9.2,2.3,17.2,4.3,6.2,1.3,38.9,31.6,11.9,6.7,0
경기도,부천시,26.2,4.5,5.5,0.3,6.7,1.8,10.4,2.9,5.6,1.8,8.6,33.8,3.1,5.6,0.1
인천광역시,부평구,25.2,3.8,5.2,0.3,8.1,2,9.6,2.2,5.3,1.4,9.3,23.7,2.5,3.3,0
부산광역시,북구,29.2,5.1,7,0.4,8.6,1.7,18.6,7.4,6.2,1.6,48.5,54,13,5,0.1
대구광역시,북구,23.8,5.2,3.7,0.2,6.5,1.4,10.5,2.9,5.7,1.4,27.7,42.6,8.8,7.3,0.1
광주광역시,북구,28.8,4.9,7.4,0.4,8.8,2.5,18.8,8.6,10.6,1.6,66.3,59.3,25.6,27.2,0.1
울산광역시,북구,30.7,7,5.7,0.3,7.8,4,19.9,10.4,8.7,1.5,58.3,55.5,27.5,28.5,0.1
부산광역시,사상구,34.2,6.9,8.3,0.3,9.3,2,14,4.3,6.2,1.4,49.8,75.5,9.1,4.2,0.1
경상남도,사천시,30.5,7.8,6.5,0.4,9.6,5.5,27.9,10.3,13.1,1.8,66.3,134.4,25.6,10.8,0.1
부산광역시,사하구,34.7,6.8,8.7,0.3,8.8,2.3,18.5,3,5.2,1.5,71.8,94.9,2.8,3.7,0.1
경상남도,산청군,27.1,5.7,5.2,0.3,8,2.6,16.4,4.9,11.6,1.5,84.6,76.2,18.7,13.3,0.3
