C행정구역별(읍면동),시/도,시/군/구,뭐할껀지,알지,65세이상인구,총인구,비율
'34360,충청남도, 홍성군,홍성군,TRUE,22316,102791,0.217100719
'34370,충청남도, 예산군,예산군,TRUE,22670,78963,0.287096488
'34380,충청남도, 태안군,태안군,TRUE,17672,60896,0.290199685
'35011,전라북도, 전주시완산구,전주시완산구,TRUE,51411,341123,0.150711034
'35012,전라북도, 전주시덕진구,전주시덕진구,TRUE,42465,320963,0.13230497
'35020,전라북도, 군산시,군산시,TRUE,46563,270635,0.172050917
'35030,전라북도, 익산시,익산시,TRUE,51976,290119,0.179154071
'35040,전라북도, 정읍시,정읍시,TRUE,28180,107348,0.262510713
'35050,전라북도, 남원시,남원시,TRUE,21318,77690,0.274398249
'35060,전라북도, 김제시,김제시,TRUE,24404,80422,0.303449305
'35310,전라북도, 완주군,완주군,TRUE,19773,96212,0.205514905
'35320,전라북도, 진안군,진안군,TRUE,7881,23013,0.34245861
'35330,전라북도, 무주군,무주군,TRUE,7469,22852,0.32684229
'35340,전라북도, 장수군,장수군,TRUE,6872,21267,0.323129732
'35350,전라북도, 임실군,임실군,TRUE,9013,26144,0.344744492
'35360,전라북도, 순창군,순창군,TRUE,8955,26642,0.336123414
'35370,전라북도, 고창군,고창군,TRUE,17481,53260,0.328220053
'35380,전라북도, 부안군,부안군,TRUE,15929,49733,0.32029035
'36010,전라남도, 목포시,목포시,TRUE,36189,228876,0.158116185
'36020,전라남도, 여수시,여수시,TRUE,49647,270283,0.183685248
'36030,전라남도, 순천시,순천시,TRUE,40810,270202,0.151035151
'36040,전라남도, 나주시,나주시,TRUE,24180,112101,0.215698343
'36060,전라남도, 광양시,광양시,TRUE,18150,143656,0.126343487
'36310,전라남도, 담양군,담양군,TRUE,13077,43804,0.29853438
'36320,전라남도, 곡성군,곡성군,TRUE,9451,27858,0.339256228
'36330,전라남도, 구례군,구례군,TRUE,8287,23836,0.347667394
'36350,전라남도, 고흥군,고흥군,TRUE,24156,60332,0.400384539
'36360,전라남도, 보성군,보성군,TRUE,14431,38339,0.376405227
'36370,전라남도, 화순군,화순군,TRUE,15707,59671,0.263226693
'36380,전라남도, 장흥군,장흥군,TRUE,11748,35494,0.330985519
'36390,전라남도, 강진군,강진군,TRUE,11020,32805,0.335924402
'36400,전라남도, 해남군,해남군,TRUE,20413,65175,0.313202915
'36410,전라남도, 영암군,영암군,TRUE,13201,57476,0.229678474
'36420,전라남도, 무안군,무안군,TRUE,15759,81789,0.192678722
'36430,전라남도, 함평군,함평군,TRUE,10700,30556,0.350176725
'36440,전라남도, 영광군,영광군,TRUE,14090,50004,0.281777458
'36450,전라남도, 장성군,장성군,TRUE,12085,42193,0.286421918
'36460,전라남도, 완도군,완도군,TRUE,14625,48366,0.302381838
'36470,전라남도, 진도군,진도군,TRUE,9318,29295,0.318074757
'36480,전라남도, 신안군,신안군,TRUE,12671,35432,0.357614586
'37011,경상북도, 포항시 남구,포항시 남구,TRUE,37012,233172,0.158732609
'37012,경상북도, 포항시 북구,포항시 북구,TRUE,44235,268892,0.164508427
'37020,경상북도, 경주시,경주시,TRUE,53055,264314,0.200727165
'37030,경상북도, 김천시,김천시,TRUE,30495,139902,0.21797401
'37040,경상북도, 안동시,안동시,TRUE,36930,160344,0.230317318
'37050,경상북도, 구미시,구미시,TRUE,37194,420319,0.088489933
'37060,경상북도, 영주시,영주시,TRUE,26704,105235,0.25375588
'37070,경상북도, 영천시,영천시,TRUE,26438,100487,0.263098709
'37080,경상북도, 상주시,상주시,TRUE,28640,96641,0.296354549
'37090,경상북도, 문경시,문경시,TRUE,20044,68542,0.292433836
'37100,경상북도, 경산시,경산시,TRUE,41971,290088,0.144683682
'37310,경상북도, 군위군,군위군,TRUE,8545,22206,0.384805908
'37320,경상북도, 의성군,의성군,TRUE,20099,49477,0.406229157
'37330,경상북도, 청송군,청송군,TRUE,8719,23958,0.363928542
'37340,경상북도, 영양군,영양군,TRUE,5851,16146,0.362380775
'37350,경상북도, 영덕군,영덕군,TRUE,12782,35672,0.358320251
'37360,경상북도, 청도군,청도군,TRUE,14727,41054,0.358722658
'37370,경상북도, 고령군,고령군,TRUE,9210,32191,0.286104812
'37380,경상북도, 성주군,성주군,TRUE,12513,41314,0.302875539
'37390,경상북도, 칠곡군,칠곡군,TRUE,16952,118517,0.143034333
'37400,경상북도, 예천군,예천군,TRUE,15881,53020,0.29952848
'37410,경상북도, 봉화군,봉화군,TRUE,10804,30308,0.356473538
'37420,경상북도, 울진군,울진군,TRUE,12735,47651,0.267255671
'37430,경상북도, 울릉군,울릉군,TRUE,2042,8704,0.234604779
'38030,경상남도, 진주시,진주시,TRUE,54912,354166,0.155045939
'38050,경상남도, 통영시,통영시,TRUE,23018,129931,0.177155567
'38060,경상남도, 사천시,사천시,TRUE,22962,111110,0.206660067
'38070,경상남도, 김해시,김해시,TRUE,57030,549331,0.103817189
'38080,경상남도, 밀양시,밀양시,TRUE,26979,103402,0.260913715
'38090,경상남도, 거제시,거제시,TRUE,24073,251226,0.095822088
'38100,경상남도, 양산시,양산시,TRUE,43747,347221,0.125991803
'38111,경상남도, 창원시 의창구,창원시 의창구,TRUE,30206,256001,0.117991727
'38112,경상남도, 창원시 성산구,창원시 성산구,TRUE,16219,219951,0.073739151
'38113,경상남도, 창원시 마산합포구,창원시 마산합포구,TRUE,34788,177579,0.195901542
'38114,경상남도, 창원시 마산회원구,창원시 마산회원구,TRUE,31157,192446,0.161899962
'38115,경상남도, 창원시 진해구,창원시 진해구,TRUE,25405,190885,0.133090604
'38310,경상남도, 의령군,의령군,TRUE,9146,26040,0.351228879
'38320,경상남도, 함안군,함안군,TRUE,14790,66611,0.2220354
'38330,경상남도, 창녕군,창녕군,TRUE,17636,62370,0.282764149
'38340,경상남도, 고성군,고성군,TRUE,14841,50887,0.291646196
'38350,경상남도, 남해군,남해군,TRUE,15195,42169,0.360335792
'38360,경상남도, 하동군,하동군,TRUE,14192,42583,0.333278538
'38370,경상남도, 산청군,산청군,TRUE,11834,33579,0.352422645
'38380,경상남도, 함양군,함양군,TRUE,12217,37384,0.32679756
'38390,경상남도, 거창군,거창군,TRUE,15983,59888,0.266881512
'38400,경상남도, 합천군,합천군,TRUE,16255,42449,0.382930104
'39010,제주특별자치도, 제주시,제주시,TRUE,65170,487688,0.133630518
'39020,제주특별자치도, 서귀포시,서귀포시,TRUE,32300,177360,0.182115471
