	시군구1	시군구2	SIG_KOR_NM		계	상급종합병원	종합병원	병원	요양병원	의원	치과병원	치과의원	한방병원	한의원	보건소	보건지소	보건진료소	보건의료원	조산원	약국
102	대구	달성군	달성군	TRUE	361	0	0	6	8	123	0	60	0	59	1	8	8	0	0	88
25	전남	담양군	담양군	TRUE	98	0	0	2	7	22	0	12	1	10	1	11	11	0	0	21
71	충남	당진시	당진시	TRUE	265	0	1	3	4	81	1	44	0	32	1	11	19	0	0	68
48	대전	대덕구	대덕구	TRUE	310	0	2	4	4	113	1	47	0	47	1	0	1	0	0	90
163	서울	도봉구	도봉구	TRUE	485	0	1	8	6	163	1	103	2	85	1	0	0	0	0	115
0	광주	동구	동구	TRUE	327	2	1	6	10	113	1	56	6	34	1	0	0	0	0	97
44	대전	동구	동구	TRUE	447	0	1	4	11	156	1	74	1	82	1	1	1	0	0	114
81	부산	동구	동구	TRUE	239	0	3	5	6	77	2	34	1	44	1	0	0	0	0	66
96	대구	동구	동구	TRUE	649	0	1	9	7	236	0	103	0	117	1	0	0	0	0	175
105	울산	동구	동구	TRUE	242	0	1	1	4	87	1	45	0	36	1	0	0	0	0	66
180	인천	동구	동구	TRUE	122	0	2	0	0	42	0	25	0	18	1	0	0	0	0	34
159	서울	동대문구	동대문구	TRUE	832	1	3	14	9	260	4	157	1	157	1	0	0	0	1	224
202	경기	동두천시	동두천시	TRUE	140	0	0	1	10	41	0	26	0	18	1	0	0	0	0	43
84	부산	동래구	동래구	TRUE	608	0	3	16	17	184	4	130	0	117	1	0	0	0	0	136
173	서울	동작구	동작구	TRUE	762	1	1	5	3	259	2	172	1	132	1	0	0	0	0	185
234	강원	동해시	동해시	TRUE	140	0	1	2	3	50	0	26	0	17	1	1	0	0	0	39
167	서울	마포구	마포구	TRUE	929	0	0	2	3	371	3	200	1	150	1	0	0	0	0	198
20	전남	목포시	목포시	TRUE	406	0	5	16	7	135	2	63	9	48	1	1	0	0	1	118
35	전남	무안군	무안군	TRUE	141	0	1	2	4	44	1	17	2	16	1	8	11	0	0	34
14	전북	무주군	무주군	TRUE	53	0	0	0	0	12	0	5	0	8	0	5	9	1	0	13
117	경북	문경시	문경시	TRUE	147	0	1	2	1	45	0	19	0	18	1	9	13	0	0	38
181	인천	미추홀구	미추홀구	TRUE	643	0	2	13	14	211	1	124	7	93	2	1	0	0	0	175
141	경남	밀양시	밀양시	TRUE	178	0	0	8	5	44	0	26	1	23	1	9	15	0	0	46
66	충남	보령시	보령시	TRUE	186	0	1	2	4	53	0	24	0	29	1	10	17	0	0	45
29	전남	보성군	보성군	TRUE	98	0	0	2	4	23	0	9	0	9	1	10	15	0	0	25
55	충북	보은군	보은군	TRUE	74	0	0	2	2	16	0	6	0	7	1	8	15	0	0	17
129	경북	봉화군	봉화군	TRUE	47	0	0	1	1	7	0	4	0	7	1	9	7	0	0	10
83	부산	부산진구	부산진구	TRUE	986	1	3	19	14	429	3	170	1	157	1	0	0	0	0	188
19	전북	부안군	부안군	TRUE	118	0	1	5	2	26	0	15	0	17	1	11	11	0	0	29
73	충남	부여군	부여군	TRUE	137	0	0	1	5	30	0	16	0	16	1	15	20	0	0	33
199	경기	부천시	부천시	TRUE	1432	1	4	23	31	510	4	282	9	218	3	0	0	0	1	346
184	인천	부평구	부평구	TRUE	847	1	2	10	8	308	4	170	8	124	1	1	0	0	0	210
3	광주	북구	북구	TRUE	782	0	6	22	19	251	1	183	26	85	1	0	0	0	0	188
86	부산	북구	북구	TRUE	465	0	2	11	14	166	3	88	0	77	1	1	0	0	0	102
99	대구	북구	북구	TRUE	748	1	1	20	11	250	2	141	0	120	1	1	0	0	0	200
106	울산	북구	북구	TRUE	211	0	1	4	4	69	1	48	1	32	1	0	2	0	0	48
93	부산	사상구	사상구	TRUE	317	0	2	8	18	111	1	58	0	42	1	0	0	0	0	76
139	경남	사천시	사천시	TRUE	191	0	0	5	7	51	0	35	0	27	1	7	12	0	0	46
88	부산	사하구	사하구	TRUE	541	0	0	18	25	184	1	100	2	85	1	0	0	0	0	125
150	경남	산청군	산청군	TRUE	72	0	0	0	1	13	0	6	0	13	0	9	15	1	0	14
237	강원	삼척시	삼척시	TRUE	94	0	1	1	1	27	0	12	0	10	1	8	6	0	0	27
116	경북	상주시	상주시	TRUE	186	0	2	1	3	45	0	25	0	25	1	18	25	0	0	41
1	광주	서구	서구	TRUE	676	0	5	19	11	250	9	144	18	87	1	0	1	0	0	131
46	대전	서구	서구	TRUE	1123	0	3	26	12	431	1	222	5	181	1	2	1	0	0	238
80	부산	서구	서구	TRUE	235	3	1	4	6	60	0	34	1	35	1	0	0	0	0	90
97	대구	서구	서구	TRUE	374	0	1	8	9	119	0	53	0	70	1	0	0	0	0	113
186	인천	서구	서구	TRUE	670	0	5	8	9	240	1	144	4	94	1	0	0	0	0	164
43	제주	서귀포시	서귀포시	TRUE	315	0	1	3	0	105	0	55	0	50	3	5	24	0	0	69
166	서울	서대문구	서대문구	TRUE	587	1	1	5	3	208	2	125	1	89	1	1	0	0	0	150
68	충남	서산시	서산시	TRUE	261	0	2	0	2	77	0	48	0	37	1	10	15	0	0	69
74	충남	서천군	서천군	TRUE	116	0	0	1	5	30	0	12	0	14	1	10	17	0	0	26
175	서울	서초구	서초구	TRUE	1465	1	0	12	4	630	5	315	6	252	1	2	0	0	1	236
195	경기	성남시 분당구	성남시 분당구	TRUE	1167	1	3	10	6	443	5	261	3	201	1	1	0	0	0	232
193	경기	성남시 수정구	성남시 수정구	TRUE	513	0	2	5	6	193	1	116	1	70	1	0	0	0	0	118
194	경기	성남시 중원구	성남시 중원구	TRUE	415	0	1	2	4	152	1	84	0	72	1	0	0	0	0	98
157	서울	성동구	성동구	TRUE	593	1	0	6	3	213	1	127	0	93	1	0	0	0	0	148
161	서울	성북구	성북구	TRUE	729	1	0	6	7	251	1	149	0	113	1	0	0	0	0	200
126	경북	성주군	성주군	TRUE	84	0	0	2	5	18	0	9	0	11	1	9	11	0	0	18
236	강원	속초시	세종특별자치시	FALSE	165	0	2	0	2	64	1	30	0	24	1	0	0	0	0	41
177	서울	송파구	속초시	FALSE	1527	1	1	16	10	561	4	318	4	250	1	1	0	0	0	360
100	대구	수성구	송파구	FALSE	948	0	1	15	8	346	5	166	2	208	1	0	0	0	0	196
92	부산	수영구	수성구	FALSE	395	0	2	8	11	123	1	78	0	82	1	0	0	0	1	88
190	경기	수원시 권선구	수영구	FALSE	470	0	0	9	4	154	0	99	0	79	1	0	0	0	0	124
192	경기	수원시 영통구	수원시 권선구	FALSE	582	1	0	8	5	209	0	144	1	90	1	0	0	0	0	123
189	경기	수원시 장안구	수원시 영통구	FALSE	446	0	1	5	9	147	0	97	0	77	1	0	0	0	0	109
191	경기	수원시 팔달구	수원시 장안구	FALSE	584	0	2	11	7	221	1	104	3	107	1	0	0	0	0	127
17	전북	순창군	수원시 팔달구	FALSE	72	0	0	1	1	17	0	6	0	6	0	10	17	1	0	13
22	전남	순천시	순창군	FALSE	452	0	5	17	7	134	1	89	5	53	1	9	22	0	0	109
212	경기	시흥시	순천시	FALSE	622	0	3	4	13	226	2	131	9	74	1	1	4	0	0	154
41	전남	신안군	시흥시	FALSE	77	0	0	2	2	12	0	5	0	5	1	16	23	0	0	11
67	충남	아산시	신안군	FALSE	435	0	1	9	10	135	1	83	1	60	1	11	16	0	0	107
112	경북	안동시	아산시	FALSE	290	0	3	5	7	80	2	43	1	42	1	14	25	0	0	67
204	경기	안산시 단원구	안동시	FALSE	620	1	2	14	10	229	4	108	8	81	1	2	2	0	1	157
203	경기	안산시 상록구	안산시단원구	FALSE	404	0	1	7	7	128	0	79	7	59	1	2	0	0	0	113
221	경기	안성시	안산시상록구	FALSE	271	0	2	2	10	74	1	47	0	33	1	9	15	0	0	77
